Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,72.44430626298661,73.51053072743386,72.18753594245682,73.44939422607422,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,72.66684845773884,73.50563951646919,72.50789503709451,72.73532104492188,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,71.84518656447514,73.35403152307427,71.59085658127174,73.31490325927734,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,73.32468003576207,73.5838982280375,72.74755499271944,72.9700927734375,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,72.66927853716804,74.44957283156613,72.66927853716804,74.14389038085938,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,75.1343195554946,75.91442198497518,74.87999705868182,75.71878814697266,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,75.95597053464793,76.46218242207611,75.38128608246738,75.88993835449219,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,76.21030506462371,77.53818781031924,76.09047247176342,77.51128387451172,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,77.44773285961477,77.66048671761293,76.33993961114462,76.46465301513672,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,76.26168375866634,77.15427530847171,75.69922339116567,76.136962890625,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,76.68717596385548,77.20317188251663,76.32035697954758,77.0906753540039,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,77.34255670067849,77.94658558770234,77.03198598353431,77.94414520263672,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,77.5675566771938,78.01507263315128,77.27654630136448,77.41593933105469,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,77.90745493546211,78.25226566242128,77.59688422788024,77.6922607421875,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,77.74607444702163,78.14712604158791,77.19095020186973,78.0664291381836,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,78.31585814043054,79.06905655250854,77.64824485978387,77.84143829345703,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,75.82393271413133,76.24210428754456,74.55718621603168,75.552490234375,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,76.44507358435213,77.86343725986345,76.34480883864568,77.68981170654297,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,79.34295160882692,80.1744065049572,78.59219360790318,79.31604766845703,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,78.38679105558155,79.25492652684616,77.94905154707077,79.20112609863281,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,78.48214911831553,78.91010463537997,75.39109143579651,75.68943786621094,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,74.41534296853129,76.66272124980865,73.90669058484998,75.4815673828125,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,77.10780053277941,78.16668891770972,76.69696503392531,77.97349548339844,136616400,0.0,0.0
2020-02-05 00:00:00-05:00,79.11551082983787,79.4187529124352,77.99794140038723,78.60930633544922,118826800,0.0,0.0
2020-02-06 00:00:00-05:00,78.88321855304916,79.53126407170929,78.31831779310836,79.52881622314453,105425600,0.0,0.0
2020-02-07 00:00:00-05:00,79.02138686252282,79.27386672491559,77.95018582032571,78.44779205322266,117684000,0.1925,0.0
2020-02-10 00:00:00-05:00,77.0138010172313,78.82038116455078,76.93291260674283,78.82038116455078,109348800,0.0,0.0
2020-02-11 00:00:00-05:00,79.32290809960199,79.39644303063982,78.12423635903461,78.3448486328125,94323200,0.0,0.0
2020-02-12 00:00:00-05:00,78.80076846753767,80.21024498779705,78.80076846753767,80.2053451538086,113730400,0.0,0.0
2020-02-13 00:00:00-05:00,79.46750930343563,79.96511547779288,79.26160407411493,79.63419342041016,94747600,0.0,0.0
